"Path","PSIsContainer","Length","MtimeUtc"
"_before_game_learning_patch_20260924-060952","True",,"2026-09-24T13:09:52.2236580Z"
"_before_true_glass_20260924-061812","True",,"2026-09-24T13:18:12.1579420Z"
"_safe_patch_backup_20260924-060626","True",,"2026-09-24T13:06:26.7373290Z"
".codex","True",,"2026-09-26T06:51:01.2735200Z"
".github","True",,"2026-09-23T11:45:25.5630640Z"
"assets","True",,"2026-09-26T01:55:46.1851550Z"
"backup-20260923-1119","True",,"2026-09-23T18:20:12.1397440Z"
"backup-cosmos-20260923","True",,"2026-09-23T18:48:09.2411490Z"
"backup-cosmos-labels-20260923","True",,"2026-09-23T19:11:46.1701830Z"
"backup-theme-20260923","True",,"2026-09-23T18:33:08.8433570Z"
"deep-learning","True",,"2026-09-26T01:55:47.7392600Z"
"games","True",,"2026-09-24T21:58:56.0857300Z"
"geometric-lab","True",,"2026-09-26T01:55:48.4240290Z"
"Joshua_Randall_Knowledge_Platform_v0.3.0","True",,"2026-09-07T07:16:03.3890380Z"
"labs","True",,"2026-09-26T01:55:48.0133480Z"
"project-sources","True",,"2026-09-23T11:45:27.8508900Z"
"qubit-preview-20260921","True",,"2026-09-26T01:55:49.4135230Z"
"release-upload","True",,"2026-09-23T11:45:27.9497780Z"
"site-repair","True",,"2026-09-23T11:45:27.9798100Z"
"tests","True",,"2026-09-23T11:45:28.0154580Z"
"tools","True",,"2026-09-23T11:45:28.0172070Z"
"_shellfish_uploading_4336159125157019876","False","210000","2026-09-22T05:17:46.1730820Z"
"3d-battle-chess-osu-deploy.zip","False","11368","2026-09-22T10:02:28.0000000Z"
"agent-workbench.html","False","5898","2026-09-26T01:55:48.4064800Z"
"agent-workbench.js","False","5599","2026-09-26T01:55:45.6375190Z"
"agent-workbench.mjs","False","5227","2026-09-23T22:50:20.0736650Z"
"app.js","False","15042","2026-09-26T01:55:45.6528900Z"
"ASIMOV.jpg","False","44143","2026-06-08T01:52:51.0332981Z"
"audio-diagnostic.html","False","3471","2026-09-24T19:10:22.9758690Z"
"build_data.py","False","161308","2026-09-07T06:16:27.4399410Z"
"dark-music.js","False","709","2026-09-26T01:55:46.1973850Z"
"DEPLOYMENT_READ_FIRST.txt","False","2373","2026-09-22T17:46:10.0000000Z"
"fusion-presentation.mp4","False","168678432","2026-06-04T12:29:17.5082784Z"
"handheld-experience.css","False","4397","2026-09-26T01:55:47.7686600Z"
"handheld-experience.js","False","1335","2026-09-26T01:55:47.7819480Z"
"header-cleanup.css","False","684","2026-09-24T15:17:45.2613240Z"
"index.html","False","28995","2026-09-26T01:55:48.4355310Z"
"Joshua_Randall_MASTER_RESUME_L.docx","False","37409","2026-09-04T02:59:54.8152801Z"
"Joshua_Randall_OSU_Reconciled_Site_Overlay_FINAL.zip","False","5151787","2026-09-22T11:17:11.0000000Z"
"Joshua_Randall_Portfolio_vNext_Review_Overlay.zip","False","634699","2026-09-22T13:46:47.0000000Z"
"Joshua_Randall_Resume(2).pdf","False","4253","2026-06-04T07:27:44.0447016Z"
"joshua-randall.jpg","False","308295","2026-06-04T06:15:03.8747780Z"
"knowledge-data.js","False","25408234","2026-09-26T01:55:47.9170580Z"
"knowledge.css","False","93452","2026-09-26T01:55:47.9602520Z"
"knowledge.js","False","191107","2026-09-26T01:55:47.9765890Z"
